Name,Service,Menu,Description,Duration,Price,Extra Time,Staff,Online,Resources,Form
LED Light Therapy ,LED Light Therapy,LED,"Please arrive with clean skin, skin will be cleansed and a cell renewal serum will be applied. When the light has finished spf may be applied depending on the time of day 

LED is a light absorbed by the skin without heat or trauma to the skin. Using the correct settings, the light can create change in the skin such as healing inflamed skin, redness, sensitivity, acne, inducing collagen production for anti-aging benefits, slowing down cell turnover in psoriasis clients and much much more ",30min,40,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",
Resurface Blend - Dehydrated Skin Dullness Pre-Mature Aging includes LED Light,Chemical Peel,Skin Peels From CosMedix,"Packed with exfoliating fruit enzymes and hydrators, this potent rinse-off gel helps visibly improve the look of skin tone and texture for a clarified, more radiant appearance of skin. Antioxidant-rich Enzyme Peel provides gentle exfoliation and a burst of instant hydration to help balance the moisture and oil levels of skin for a firmer, more refined appearance of the complexion

10 minute LED light Session included 

POST PEEL EXPECTATIONS: Post-peeling not expected – light flaking may occur 

Course of 4 advised once per week",45min,100,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",
"PHA Peel - Dry, Dehydrated, Fine lines and Wrinkles includes LED Light",Chemical Peel,Skin Peels From CosMedix,"Gently exfoliate away dull, dead skin with this skin-soothing peel treatment to help illuminate the appearance of your complexion. 
A multi-acid Level 1 exfoliant that’s gentle enough for all skin types, this Refining Exfoliator helps soften, smooth and brighten the appearance of skin for a more even-looking complexion. 

Course of 4 once per week advised 
IDEAL FOR: All Fitzpatrick Types, Dry, Dehydrated, Fine Lines/Wrinkles

10 minute LED light Session included

TRANSFORMATIVE INGREDIENTS
Gluconolactone | A polyhydroxy acid (PHA) that provides a kinder, gentler exfoliation for all skin types
Lactobionic Acid | A naturally derived polyhydroxy acid from sugar that provides gentle exfoliation and helps reduce the appearance of fine lines and wrinkles
Phytic Acid | An alpha hydroxy acid derived from cereal seeds that helps provide antioxidant support for the skin and helps to increase moisturization in the skin
",45min,100,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",
Benefit Peel + Retinol - PIH Acne Grades I And II Dull Skin includes LED Light ,Chemical Peel,Skin Peels From CosMedix,"A gentle, all-purpose treatment that helps to improve the look of surface texture with fruit enzymes and Vitamins A and C. 

The perfect treatment series for hyperpigmentation, fine lines and wrinkles. All Fitzpatrick Types PIH Acne Grades I And II Dull Skin

INSTANT RESULTS 
• Exfoliates to eliminate rough, dull surface cells 
• Eliminates pore-clogging impurities for the look of clearer, balanced skin

10 minute LED light Session included

Course of 4 recommended: 1 every 2 weeks 

Ingredients 
 L-Ascorbic Acid 
 Fruit Enzymes (papain, bromelain) 
10% AGP Complex Provides all the age-defying benefits of retinol
Salicylic Acid BHA ",45min,100,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",
Microneedling with Exosomes and LED Light therapy ,Microneedling,Skin Needling - Consultation free when you buy 1 Cosmedix Product,"The microneedling process stimulates the body’s natural healing response, promoting collagen and elastin production, and can improve the appearance of scars, wrinkles, and overall skin texture.

Exosomes are small extracellular vesicles released by cells. They contain proteins, lipids, and genetic material have powerful regenerative and rejuvenating properties.

The microneedling procedure combined with the application of exosomes. The application of exosomes combined with the regenerative effects of microneedling provides additional signaling molecules and growth factors to the skin.",1h 15min,350,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,[],
Skin Consultation ,Skin Consultation,Skin Needling - Consultation free when you buy 1 Cosmedix Product,"Buy 1 Cosmedix Product and Get your skin consult for FREE!!

Allow Maria to assess your skin and your main concerns. She will give you the best advise on products and treatments to suit your particular concern. Product ingredients is an area that Maria is passionate about, so she will analyze ingredients currently used and their percentages and add in or remove products when and where is needed.
Topics we touch on include diet, stress, environment, skincare, past and current skin treatments, supplements and makeup. ",30min,,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",
Micro needling -1st Treatment + mandatory Post treatment kit 1/2 Price includes LED,Microneedling,Skin Needling - Consultation free when you buy 1 Cosmedix Product,"The Exceed™ medical microneedling** device delivers the latest treatment to repair and restore aging skin, naturally. Clinically-proven to dramatically improve facial acne scars and facial wrinkles, the Exceed™ treatment produces excellent results

Includes LED Light 

- If this is your first treatment with Maria for Micro needling, please book this option. This option allows Maria to complete any and all areas your concerned with and includes your mandatory Post Treatment Kit ",1h 30min,214,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
Micro Needling: Face includes LED Light ,Microneedling,Skin Needling - Consultation free when you buy 1 Cosmedix Product,"The Exceed™ medical microneedling device delivers the latest treatment to repair and restore aging skin, naturally. Clinically-proven to dramatically improve facial acne scars and facial wrinkles, the Exceed™ treatment produces excellent results",1h,190,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",
Micro Needling: Face and Neck includes LED Light ,Microneedling,Skin Needling - Consultation free when you buy 1 Cosmedix Product,"The Exceed™ medical microneedling device delivers the latest treatment to repair and restore aging skin, naturally. Clinically-proven to dramatically improve facial acne scars and facial wrinkles, the Exceed™ treatment produces excellent results

Includes LED Light ",1h 10min,210,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Laser Bed']",
"Micro Needling: Face, Neck And Décolleté includes LED Light",Microneedling,Skin Needling - Consultation free when you buy 1 Cosmedix Product,"The Exceed™ medical microneedling** device delivers the latest treatment to repair and restore aging skin, naturally. Clinically-proven to dramatically improve facial acne scars and facial wrinkles, the Exceed™ treatment produces excellent results

Includes LED Light ",1h 15min,230,,"['All team members', 'Maria Mccarthy', ""Sarah O'Callaghan""]",TRUE,"['Enable resources', 'Brow Chair', 'Laser Bed']",
