name,full-price,cost-price,barcode,description,category,supplier
Clarity Luxe Travel Size,43,21.5,,,Cosmedix,Unknown
Purity Detox Scrub,62,31,,,Cosmedix,Unknown
Micro Defence Microbiome Sheet Mask x1,13,6.5,,,Cosmedix,Unknown
Serum 24,132,66,,"Serum 24 is an age-defying Rapid Renewal Complex Featuring LG-Retinex (Retinol) serum that's formulated with a powerhouse blend of LG-Retinex, a microencapsulated blend of 1% Retinol and 1% Retinal, that is clinically proven to visibly help reduce the look of medium to deep lines and wrinkles.",Cosmedix,Unknown
Clarifying and Cleansing Kit,70,35,8552400,,Cosmedix,Unknown
Even Skin Tone Kit,56,28,8555701,,Cosmedix,Unknown
Combination Skin Kit,56,28,,Purity cleanser define clarity mystic ,Cosmedix,Unknown
Sensitive Skin Kit,56,28,85555601,,Cosmedix,Unknown
Age Defying Skin Kit,56,28,8555500,,Cosmedix,Unknown
Normal Skin Kit,56,28,8554100,,Cosmedix,Unknown
Post Treatment Skin Kit,56,28,8554000,,Cosmedix,Unknown
Treatment Prep Kit,56,28,8554500,,Cosmedix,Unknown
Harmonize Moisturiser,79,39.5,,"WHAT IT IS:
Harmonize is a complexion-quenching Microbiome Boosting Moisturizer that deeply hydrates the skin with a moisture-rich prebiotic that helps strengthen your skin’s natural defense for a softer, smoother, more supple-looking complexion.

WHAT IT DOES:
• Boosts the skin’s moisture barrier function for long-lasting hydration
• Helps balance the look of the complexion
• Soothes dry skin and helps protect from environmental stressors

Harmonize and hydrate an unbalanced complexion and help restore a healthy microbiome, leaving skin more balanced and smoother-looking with daily use. Formulated with an age-defying skincare blend of fruit and plant extracts, along with a skin-conditioning probiotic, this Microbiome Boosting Moisturizer helps strengthen skin’s natural moisture barrier and helps protect the complexion from environmental stressors. The lightweight lotion texture helps leave all skin types—even blemish-prone skin, looking hydrated and vibrantly renewed!
",Cosmedix,Unknown
Skin Thirst Moisturiser,71,35.5,,"Skin Thirst is an ultra-hydrating Moisturizing Hyaluronic Acid Cream that helps plump the look of skin, soften the appearance of wrinkles and refine the look of pores.
WHAT IT DOES:
• Skin-quenching ingredients help lock in long-lasting moisture and balance oil production
• Helps plump the look of skin, soften the appearance of wrinkles and refine the look of pores
• Helps protect the skin from environmental stressors, like pollution

Quench your skin with this oil-free Moisturizing Hyaluronic Acid Cream that acts like a tiny sponge that locks in hydration to help plump the look of skin. The lush, gel-to-velvet formula quickly absorbs into skin, soothes on contact and instantly mattifies on application—the formula feels truly dreamy. Infused with moisture-locking Hyaluronic Acid and conditioning Witch Hazel, the skin instantly reaps the benefits of moisture balance as Skin Thirst helps protect skin from environmental stressors.A blend of microfine powders blurs the appearance of fine ",Cosmedix,Unknown
Resync,106,53,,"WHAT IT IS:
Resync is a Revitalizing Night Cream with antioxidant-rich extracts—like Snow Mushroom and Kakudu Plum—that quench skin with long-lasting moisture to help restore radiance and revitalize the look of skin, all while you sleep.

WHAT IT DOES:
• Deeply hydrates the skin to help improve softness and radiance
• Revitalizes the look of skin after exposure to environmental stressors, such as blue light
• Help improve the overall appearance of fine lines, dark spots and uneven texture

Resync your skincare routine with the nighttime pick-me-up 2021 has been waiting for! The first overnight hydrator to join the COSMEDIX line, this Revitalizing Night Cream revitalizes the appearance of a dull complexion even as you sleep. Enriched with potent plant-based extracts, like South Korean Lespedeza, this nighttime moisturizer hydrates and rejuvenates the skin’s appearance after being exposed to environmental stressors, like blue light, to decrease the signs of skin fatigue for optimal skinc",Unknown,Unknown
Humidify Deep Moisture Cream,122,61,8770473,,Cosmedix,Unknown
Shineless Moisturiser,62,31,8770470,,Cosmedix,Unknown
Mystic,55,27.5,,,Unknown,Unknown
Emulsion,104,52,,,Unknown,Unknown
Lumi Crystal - Liquid Crystal Lip Hydration,48,24,8771320,,Cosmedix,Teckno Surgical
Eye Genius,92,46,8770300,,Cosmedix,Unknown
Opti Crystal,127,63.5,,,Cosmedix,Unknown
Simply Brilliant,81,40.5,8770140,,Cosmedix,Unknown
Clarity Serum,55,27.5,8770640,,Unknown,Unknown
Remedy Omega-Complex Treatment Oil,60,30,8770610,,Unknown,Unknown
Surge Hylauronic Serum,128,64,,"WHAT IT IS:
Give your daily skincare routine a surge of hydration! This ultra-dewy Hyaluronic Acid Booster deeply moisturizes dry, dehydrated skin with a specialized blend of three forms of hyaluronic acid (1.5%), niacinamide and kiwi fruit water.

WHAT IT DOES:
• Helps soften the look of skin, improve texture and promote elasticity
• Plumps the appearance of fine lines and wrinkles
• Revitalizes the look of skin with nourishing antioxidants

Give your daily skincare routine a surge of hydration! This ultra-dewy Hyaluronic Acid Booster deeply moisturizes dry, dehydrated skin with a specialized blend of hyaluronic acid, niacinamide and kiwi fruit water. With just a few drops, this luxe serum instantly refreshes and quickly absorbs into the skin, leaving behind nothing but an uber-hydrated complexion and a luminous glow—never a greasy or sticky film. Upon application, the hyaluronic acid works within the skin to rehydrate deeper layers and help visibly plump the skin, reducing the look o",Cosmedix,Unknown
Reboot Over night Hydration Serum,42,21,,,Unknown,Unknown
Radiance Serum,127,63.5,8770120,,Cosmedix,Unknown
Pure C,74,37,8770280,,Cosmedix,Unknown
Cpr,69,34.5,,,Cosmedix,Unknown
Cell ID,145,72.5,8770110,,Cosmedix,Unknown
Affirm Serum,109,54.5,8770160,,Cosmedix,Unknown
Bakuchiol Complete,95,47.5,931317010,,Cosmedix,Unknown
Serum 16,100,50,8770630,,Cosmedix,Unknown
Refine,90,45,,,Unknown,Unknown
Define Serum,100,50,8770510,,Cosmedix,Unknown
Rescue Mask,78,39,,,Cosmedix,Unknown
Restore Mask,71,35.5,8770550,,Cosmedix,Unknown
Glow Mask,71,35.5,8770540,,Cosmedix,Unknown
Detox Mask,71,35.5,8770530,,Cosmedix,Unknown
Pure Enzymes Mask,69,34.5,8770450,,Unknown,Unknown
Crystal Clear Hydrating Mist,58,29,931115010,,Cosmedix,Unknown
Crystal Cleanse Hydrating Liquid Crystal Cleansing Cream,58,29,931116010,,Cosmedix,Unknown
Benefit Clean,51,25.5,8770260,,Cosmedix,Teckno Surgical
Benefit Balance,51,25.5,8770200,,Cosmedix,Teckno Surgical
Purity Solution,46,23,8520402,,Cosmedix,Teckno Surgical
Purity Balance,51,25.5,8770210,,Unknown,Unknown
Purity Clean,51,25.5,8770270,"Exfoliates, decongests pores, and cleanses skin of surface oil and impurities. Immediate improvement in the appearance of skin texture after single use.",Cosmedix,Teckno Surgical
Xmas Lip and Brow Oil Kit,30,,,,Unknown,Unknown
Xmas Glow and Pigment Kit,130,,,,Unknown,Unknown
Xmas Aging Kit,130,,,,Unknown,Unknown
Xmas Brows and Lashes Kit,100,,,,Unknown,Unknown
Xmas Combi Kit with Pure Enzymes,120,,,,Unknown,Unknown
Age Active Fluid,47,0,,,Heliocare,Unknown
Skintelligent System,89,0,,,Unknown,Unknown
Healthy Skin Beauty Biome,50,,,,Unknown,Unknown
Youthful Skin Beauty Biome,94,,,,Unknown,Unknown
Clear Skin Beauty Biome,105,,,,Unknown,Unknown
Heliocare® 360 Paediatric Atopic Lotion Spray Large,40,0,,,Heliocare,Unknown
Heliocare® 360 Paediatric Mineral,37,0,,,Unknown,Unknown
Gel oil free BEIGE,39,0,,,Heliocare,Unknown
Pigment Solution,47,0,,,Heliocare,Unknown
Nouveau Lash and Brow Conditioner,25,0,,Lash and brow conditioner for post lash lifting or brow lamination,Brow Products,Unknown
Clarify Salicylic Acid Foaming Cleanser,55,27,8770014,,Cosmedix,Teckno Surgical
Brow Code Brow Oil,15,7.9,,"Castor Oil, Argan Oil, Rosemary Oil, Sweet Almond Oil, Geranium Oil.",Unknown,Unknown
A-R Emulsion Heliocare SPF,42,21,,,Heliocare,Unknown
Skin rejuvenator,62,31,,,Advanced Nutrition,Unknown
Iglow Lash Maximizer,55,31,,Lash serum to encourage growth of natural lashes,Unknown,Unknown
Micro Defence Microbiome Sheet x1,12,,,,Unknown,Unknown
Micro Defence Microbiome Sheets,57,28,8770562,,Cosmedix,Unknown
Bio Shape Mask,67,34,8770580,,Cosmedix,Unknown
C.P.R Serum,61,30,8770000,,Cosmedix,Unknown
Rescue Serum,67,34,8551170,,Cosmedix,Unknown
Ultimate Hydration Kit,63,32,8770512,,Cosmedix,Unknown
Skin complete 2 pots 120 capsules,104,52,,,Advanced Nutrition,Unknown
